epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,70.9563,0.56974,17.132,0.82465,2.32587,0.97196,1,0.47072,0.6059,0.42554,0,0,0,0,0.58474,19.0666,0.69728,3.5806,1.15812,0.00055552,0.00055552,0.00055552
12,77.3444,0.52737,16.7041,0.76769,2.57854,0.99377,1,0.47072,0.6059,0.42554,0,0,0,0,0.58474,19.0666,0.69728,3.5806,1.15812,0.00059836,0.00059836,0.00059836
13,83.6948,0.65793,13.5218,0.8114,1.86307,1.04924,1,0.80966,0.92227,0.5228,0,0,0,0,0.7042,18.1684,0.69972,3.01104,1.06704,0.000639616,0.000639616,0.000639616
14,89.9462,0.71882,14.6767,0.78283,1.83058,1.08579,1,0.80966,0.92227,0.5228,0,0,0,0,0.7042,18.1684,0.69972,3.01104,1.06704,0.000679288,0.000679288,0.000679288
15,96.2788,0.61594,12.5259,0.77209,1.99195,1.04228,1,0.80966,0.92227,0.5228,0,0,0,0,0.7042,18.1684,0.69972,3.01104,1.06704,0.000717376,0.000717376,0.000717376
16,103.383,0.54602,14.0929,0.74884,1.95046,1.02976,1,0.80966,0.92227,0.5228,0,0,0,0,0.7042,18.1684,0.69972,3.01104,1.06704,0.00075388,0.00075388,0.00075388
17,110.337,0.57084,13.0763,0.78244,1.75336,1.10958,1,0.80966,0.92227,0.5228,0,0,0,0,0.7042,18.1684,0.69972,3.01104,1.06704,0.0007888,0.0007888,0.0007888
18,116.834,0.61829,14.3077,0.77171,2.00414,0.99941,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.000822136,0.000822136,0.000822136
19,123.957,0.46456,11.6832,0.72045,1.24557,1.01795,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.000853888,0.000853888,0.000853888
20,130.431,0.50926,12.292,0.75506,1.29019,0.98971,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.000884056,0.000884056,0.000884056
21,136.634,0.61687,13.2116,0.72906,1.37756,1.21201,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.00091264,0.00091264,0.00091264
22,143.923,0.53815,11.1097,0.74238,1.30375,1.04709,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.00093964,0.00093964,0.00093964
23,150.449,0.46839,10.8306,0.70966,1.21979,1.07418,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.000965056,0.000965056,0.000965056
24,157.384,0.59802,12.1104,0.68608,1.33424,1.04158,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.000988888,0.000988888,0.000988888
25,164.078,0.60615,11.042,0.74048,1.47223,1.13955,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.00101114,0.00101114,0.00101114
26,170.67,0.47145,10.2862,0.72123,1.3934,1.08275,0.84625,1,0.94786,0.66326,0.00056,0.16667,0.00057,6e-05,0.5859,16.3486,0.69378,1.55933,1.02613,0.0010318,0.0010318,0.0010318
27,177.425,0.62147,10.2289,0.74681,1.20846,1.1339,1,0.86494,0.995,0.79054,0.66105,0.65261,0.54233,0.10455,0.50616,11.5143,0.70672,1.09144,1.00935,0.00105088,0.00105088,0.00105088
28,184.137,0.60192,10.3674,0.71795,1.00138,1.18677,1,0.86494,0.995,0.79054,0.66105,0.65261,0.54233,0.10455,0.50616,11.5143,0.70672,1.09144,1.00935,0.00106838,0.00106838,0.00106838
29,191.163,0.54531,9.66356,0.70566,1.15907,0.95689,1,0.86494,0.995,0.79054,0.66105,0.65261,0.54233,0.10455,0.50616,11.5143,0.70672,1.09144,1.00935,0.00108429,0.00108429,0.00108429
